loss,penalty,learning_rate,alpha,max_iter,early_stopping,R_sq,RMSE
squared_epsilon_insensitive,l2,invscaling,0.01,1000,True,0.57420565082505,72.5291125049316
squared_error,l1,adaptive,0.005,4500,True,0.570766386356905,72.8214427232582
squared_error,l1,adaptive,0.01,500,False,0.570356689822479,72.856187878321
squared_error,l1,adaptive,0.005,3500,True,0.56854837514949,73.0093481566937
squared_error,,adaptive,0.1,3500,True,0.566091087495278,73.2169615237965
squared_error,,adaptive,0.001,5000,True,0.56376312281071,73.4131069490566
squared_error,l2,adaptive,0.0001,4000,True,0.561283442643452,73.6214605703449
squared_error,l2,adaptive,0.005,4000,True,0.560104252621772,73.7203346995037
squared_epsilon_insensitive,elasticnet,invscaling,0.001,2500,True,0.559252064193363,73.7917075414817
squared_error,l2,adaptive,0.005,4000,False,0.558987752342811,73.8138302764727
squared_error,l1,adaptive,0.001,1000,False,0.556838937663582,73.9934392376481
squared_error,,adaptive,0.005,4000,True,0.556459905885501,74.0250754450466
squared_epsilon_insensitive,,invscaling,0.1,3000,False,0.556130516520109,74.0525572304404
squared_error,l2,adaptive,0.001,4000,True,0.555557899597761,74.1003078440697
squared_error,,adaptive,0.001,3000,True,0.552649725010667,74.3423475371924
squared_error,elasticnet,adaptive,0.001,1000,True,0.552382436521555,74.3645537227871
squared_error,,adaptive,0.005,2000,True,0.552047257245228,74.392390871047
squared_error,l1,adaptive,0.1,1000,False,0.550325812623022,74.5351956488621
squared_error,l2,adaptive,0.005,1500,True,0.549138195672638,74.6335567457371
squared_error,l1,adaptive,0.0001,4000,True,0.547986569457978,74.7288133682612
squared_error,l2,adaptive,0.01,500,True,0.547955299485819,74.7313981670117
squared_error,l1,adaptive,0.0001,1500,True,0.547802665831918,74.7440136933686
squared_error,,adaptive,0.1,4500,False,0.547698232319365,74.7526441392764
squared_error,l1,adaptive,0.001,1000,True,0.547034651879283,74.8074595473602
squared_error,,adaptive,0.001,2500,False,0.546886690575317,74.8196764923904
squared_error,,adaptive,0.1,500,False,0.546649845134045,74.8392283173405
squared_error,,adaptive,0.001,2500,True,0.54616994190258,74.8788291505529
squared_error,l2,adaptive,0.0005,3000,True,0.546163543206338,74.8793570190637
squared_error,elasticnet,adaptive,0.005,2000,True,0.54588403234839,74.9024119890298
squared_error,,adaptive,0.0005,2500,False,0.545651915319616,74.9215523688412
squared_error,elasticnet,adaptive,0.0005,500,False,0.545529446529827,74.931649179994
squared_error,l1,invscaling,0.0005,3000,True,0.544752722867668,74.9956536993382
squared_epsilon_insensitive,l1,invscaling,0.01,3500,True,0.544733068935305,74.9972725377928
squared_epsilon_insensitive,l2,invscaling,0.0005,3000,False,0.544711675952461,74.9990345771679
squared_epsilon_insensitive,l1,invscaling,0.0005,2000,False,0.54427830213504,75.0347206307518
squared_error,l1,adaptive,0.1,3000,True,0.54407592373326,75.0513796151585
squared_error,l1,adaptive,0.001,5000,True,0.543989087054292,75.0585265312839
squared_error,l1,adaptive,0.1,2500,False,0.543799021476472,75.0741671175033
squared_error,,adaptive,0.05,2500,False,0.543637970847264,75.087417500036
squared_epsilon_insensitive,elasticnet,invscaling,0.1,3500,False,0.543552178969975,75.0944750413858
squared_error,l1,adaptive,0.05,1500,True,0.543538042111867,75.095637925367
squared_error,l1,adaptive,0.1,4500,True,0.543323531739882,75.1132811274398
squared_epsilon_insensitive,elasticnet,invscaling,0.001,1000,False,0.54308737683646,75.1326997731061
squared_error,l1,adaptive,0.0005,2500,True,0.542930923299357,75.1455619375073
squared_epsilon_insensitive,elasticnet,invscaling,0.001,1000,True,0.542851953302036,75.1520532851258
squared_error,l1,adaptive,0.005,3000,True,0.542801591542488,75.1561927377957
squared_epsilon_insensitive,elasticnet,invscaling,0.005,4000,False,0.542683297843366,75.1659149162716
squared_error,,adaptive,0.1,2500,True,0.542632456318279,75.1700930312661
squared_epsilon_insensitive,elasticnet,invscaling,0.001,4500,True,0.542602611246347,75.1725455667238
squared_error,l1,adaptive,0.0005,3500,False,0.542501421511134,75.180860294255
squared_epsilon_insensitive,l1,invscaling,0.1,2500,True,0.542487367386327,75.1820150443776
squared_error,l2,adaptive,0.001,500,True,0.542153891413469,75.2094097291567
squared_error,,adaptive,0.0001,4000,True,0.541664505598745,75.249594179064
squared_error,,adaptive,0.0001,3500,False,0.541635470660904,75.251977621668
squared_error,l2,adaptive,0.01,4000,True,0.541457406547525,75.2665930365872
